                         Distance Measure  k Value  Accuracy
Custom Implementation 0         Euclidean        1  0.933333
                      1         Euclidean        3  0.966667
                      2         Euclidean        5  0.966667
                      3         Euclidean        7  0.966667
                      4         Euclidean        9  0.966667
                      5         Euclidean       11  0.966667
                      6         Euclidean       13  1.000000
                      7         Euclidean       15  1.000000
                      8         Euclidean       17  0.966667
                      9         Euclidean       19  0.966667
                      10        Euclidean       21  0.966667
                      11        Euclidean       23  0.966667
                      12        Euclidean       25  0.966667
                      13        Euclidean       27  0.966667
                      14        Euclidean       29  0.966667
                      15        Manhattan        1  0.933333
                      16        Manhattan        3  0.966667
                      17        Manhattan        5  0.966667
                      18        Manhattan        7  0.966667
                      19        Manhattan        9  0.966667
                      20        Manhattan       11  0.966667
                      21        Manhattan       13  0.966667
                      22        Manhattan       15  0.966667
                      23        Manhattan       17  1.000000
                      24        Manhattan       19  1.000000
                      25        Manhattan       21  1.000000
                      26        Manhattan       23  0.966667
                      27        Manhattan       25  0.966667
                      28        Manhattan       27  0.966667
                      29        Manhattan       29  0.933333
                      30        Minkowski        1  0.933333
                      31        Minkowski        3  0.933333
                      32        Minkowski        5  0.933333
                      33        Minkowski        7  0.966667
                      34        Minkowski        9  0.966667
                      35        Minkowski       11  1.000000
                      36        Minkowski       13  1.000000
                      37        Minkowski       15  1.000000
                      38        Minkowski       17  0.966667
                      39        Minkowski       19  0.966667
                      40        Minkowski       21  0.966667
                      41        Minkowski       23  0.966667
                      42        Minkowski       25  0.966667
                      43        Minkowski       27  0.966667
                      44        Minkowski       29  0.966667
Scikit-Learn          0         euclidean        1  0.933333
                      1         euclidean        3  0.966667
                      2         euclidean        5  0.966667
                      3         euclidean        7  0.966667
                      4         euclidean        9  0.966667
                      5         euclidean       11  0.966667
                      6         euclidean       13  1.000000
                      7         euclidean       15  1.000000
                      8         euclidean       17  0.966667
                      9         euclidean       19  0.966667
                      10        euclidean       21  0.966667
                      11        euclidean       23  0.966667
                      12        euclidean       25  0.966667
                      13        euclidean       27  0.966667
                      14        euclidean       29  0.966667
                      15        manhattan        1  0.933333
                      16        manhattan        3  0.966667
                      17        manhattan        5  0.966667
                      18        manhattan        7  0.966667
                      19        manhattan        9  0.966667
                      20        manhattan       11  0.966667
                      21        manhattan       13  0.966667
                      22        manhattan       15  0.966667
                      23        manhattan       17  1.000000
                      24        manhattan       19  1.000000
                      25        manhattan       21  1.000000
                      26        manhattan       23  0.966667
                      27        manhattan       25  0.966667
                      28        manhattan       27  0.966667
                      29        manhattan       29  0.933333
                      30        minkowski        1  0.933333
                      31        minkowski        3  0.966667
                      32        minkowski        5  0.966667
                      33        minkowski        7  0.966667
                      34        minkowski        9  0.966667
                      35        minkowski       11  0.966667
                      36        minkowski       13  1.000000
                      37        minkowski       15  1.000000
                      38        minkowski       17  0.966667
                      39        minkowski       19  0.966667
                      40        minkowski       21  0.966667
                      41        minkowski       23  0.966667
                      42        minkowski       25  0.966667
                      43        minkowski       27  0.966667
                      44        minkowski       29  0.966667
